Iter 1 | Steps 2048 | Pools h=1 s=1 | hider=+1.981* (9ep) | seeker=-1.779* (9ep)
Iter 2 | Steps 4096 | Pools h=2 s=2 | hider=+2.096* (9ep) | seeker=-1.916  (9ep)
Iter 3 | Steps 6144 | Pools h=3 s=3 | hider=+2.089  (8ep) | seeker=-2.229  (8ep)
Iter 4 | Steps 8192 | Pools h=3 s=3 | hider=+1.612  (9ep) | seeker=-2.093  (9ep)
Iter 5 | Steps 10240 | Pools h=3 s=3 | hider=+2.400* (8ep) | seeker=-1.429* (10ep)
Iter 6 | Steps 12288 | Pools h=4 s=4 | hider=+2.048  (9ep) | seeker=-2.400  (8ep)
Iter 7 | Steps 14336 | Pools h=4 s=4 | hider=+1.884  (9ep) | seeker=-1.946  (9ep)
Iter 8 | Steps 16384 | Pools h=4 s=4 | hider=+2.131  (9ep) | seeker=-2.165  (8ep)
Iter 9 | Steps 18432 | Pools h=4 s=4 | hider=+1.876  (9ep) | seeker=-1.882  (9ep)
Iter 10 | Steps 20480 | Pools h=4 s=4 | hider=+1.948  (9ep) | seeker=-2.187  (8ep)
Iter 11 | Steps 22528 | Pools h=4 s=4 | hider=+2.029  (9ep) | seeker=-2.400  (8ep)
Iter 12 | Steps 24576 | Pools h=4 s=4 | hider=+1.841  (10ep) | seeker=-2.092  (9ep)
Iter 13 | Steps 26624 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 14 | Steps 28672 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.711  (9ep)
Iter 15 | Steps 30720 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.179  (8ep)
Iter 16 | Steps 32768 | Pools h=4 s=4 | hider=+2.265  (8ep) | seeker=-2.204  (8ep)
Iter 17 | Steps 34816 | Pools h=4 s=4 | hider=+2.186  (8ep) | seeker=-2.400  (8ep)
Iter 18 | Steps 36864 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.752  (9ep)
Iter 19 | Steps 38912 | Pools h=4 s=4 | hider=+2.272  (8ep) | seeker=-1.830  (9ep)
Iter 20 | Steps 40960 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.089  (9ep)
Iter 21 | Steps 43008 | Pools h=4 s=4 | hider=+1.991  (9ep) | seeker=-1.764  (8ep)
Iter 22 | Steps 45056 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.581  (10ep)
Iter 23 | Steps 47104 | Pools h=4 s=4 | hider=+2.100  (9ep) | seeker=-2.400  (8ep)
Iter 24 | Steps 49152 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 25 | Steps 51200 | Pools h=4 s=4 | hider=+2.239  (8ep) | seeker=-1.516  (10ep)
Iter 26 | Steps 53248 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.928  (9ep)
Iter 27 | Steps 55296 | Pools h=4 s=4 | hider=+2.106  (9ep) | seeker=-2.044  (9ep)
Iter 28 | Steps 57344 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.681  (10ep)
Iter 29 | Steps 59392 | Pools h=4 s=4 | hider=+2.090  (9ep) | seeker=-2.001  (9ep)
Iter 30 | Steps 61440 | Pools h=4 s=4 | hider=+2.149  (8ep) | seeker=-2.025  (8ep)
Iter 31 | Steps 63488 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 32 | Steps 65536 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 33 | Steps 67584 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 34 | Steps 69632 | Pools h=4 s=4 | hider=+2.251  (8ep) | seeker=-1.709  (10ep)
Iter 35 | Steps 71680 | Pools h=4 s=4 | hider=+2.254  (8ep) | seeker=-2.207  (8ep)
Iter 36 | Steps 73728 | Pools h=4 s=4 | hider=+1.612  (10ep) | seeker=-2.259  (8ep)
Iter 37 | Steps 75776 | Pools h=4 s=4 | hider=+1.924  (9ep) | seeker=-1.934  (9ep)
Iter 38 | Steps 77824 | Pools h=4 s=4 | hider=+2.154  (9ep) | seeker=-1.897  (9ep)
Iter 39 | Steps 79872 | Pools h=4 s=4 | hider=+1.718  (9ep) | seeker=-2.400  (8ep)
Iter 40 | Steps 81920 | Pools h=4 s=4 | hider=+1.941  (9ep) | seeker=-2.155  (8ep)
Iter 41 | Steps 83968 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 42 | Steps 86016 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.857  (9ep)
Iter 43 | Steps 88064 | Pools h=4 s=4 | hider=+2.140  (9ep) | seeker=-2.162  (9ep)
Iter 44 | Steps 90112 | Pools h=4 s=4 | hider=+2.139  (8ep) | seeker=-1.576  (9ep)
Iter 45 | Steps 92160 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.065  (8ep)
Iter 46 | Steps 94208 | Pools h=4 s=4 | hider=+1.812  (9ep) | seeker=-2.400  (8ep)
Iter 47 | Steps 96256 | Pools h=4 s=4 | hider=+2.051  (9ep) | seeker=-1.800  (9ep)
Iter 48 | Steps 98304 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.079  (9ep)
Iter 49 | Steps 100352 | Pools h=4 s=4 | hider=+2.019  (8ep) | seeker=-1.948  (9ep)
Iter 50 | Steps 102400 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.221  (8ep)
Iter 51 | Steps 104448 | Pools h=4 s=4 | hider=+2.160  (9ep) | seeker=-2.037  (9ep)
Iter 52 | Steps 106496 | Pools h=4 s=4 | hider=+2.034  (9ep) | seeker=-1.984  (9ep)
Iter 53 | Steps 108544 | Pools h=4 s=4 | hider=+2.161  (8ep) | seeker=-2.023  (9ep)
Iter 54 | Steps 110592 | Pools h=4 s=4 | hider=+2.000  (9ep) | seeker=-1.928  (9ep)
Iter 55 | Steps 112640 | Pools h=4 s=4 | hider=+2.232  (8ep) | seeker=-2.124  (9ep)
Iter 56 | Steps 114688 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.254  (8ep)
Iter 57 | Steps 116736 | Pools h=4 s=4 | hider=+2.255  (8ep) | seeker=-1.976  (9ep)
Iter 58 | Steps 118784 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 59 | Steps 120832 | Pools h=4 s=4 | hider=+2.146  (9ep) | seeker=-2.227  (8ep)
Iter 60 | Steps 122880 | Pools h=4 s=4 | hider=+2.127  (9ep) | seeker=-2.046  (9ep)
Iter 61 | Steps 124928 | Pools h=4 s=4 | hider=+2.185  (8ep) | seeker=-1.823  (9ep)
Iter 62 | Steps 126976 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.878  (9ep)
Iter 63 | Steps 129024 | Pools h=4 s=4 | hider=+2.035  (8ep) | seeker=-1.707  (10ep)
Iter 64 | Steps 131072 | Pools h=4 s=4 | hider=+2.091  (9ep) | seeker=-2.146  (9ep)
Iter 65 | Steps 133120 | Pools h=4 s=4 | hider=+2.031  (8ep) | seeker=-1.709  (9ep)
Iter 66 | Steps 135168 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 67 | Steps 137216 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.771  (9ep)
Iter 68 | Steps 139264 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 69 | Steps 141312 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.979  (9ep)
Iter 70 | Steps 143360 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.177  (8ep)
Iter 71 | Steps 145408 | Pools h=4 s=4 | hider=+1.807  (9ep) | seeker=-2.400  (8ep)
Iter 72 | Steps 147456 | Pools h=4 s=4 | hider=+1.928  (9ep) | seeker=-2.400  (8ep)
Iter 73 | Steps 149504 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.958  (9ep)
Iter 74 | Steps 151552 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.154  (8ep)
Iter 75 | Steps 153600 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.146  (8ep)
Iter 76 | Steps 155648 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.829  (9ep)
Iter 77 | Steps 157696 | Pools h=4 s=4 | hider=+2.121  (9ep) | seeker=-1.880  (9ep)
Iter 78 | Steps 159744 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 79 | Steps 161792 | Pools h=4 s=4 | hider=+1.980  (9ep) | seeker=-2.114  (9ep)
Iter 80 | Steps 163840 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.836  (10ep)
Iter 81 | Steps 165888 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.250  (8ep)
Iter 82 | Steps 167936 | Pools h=4 s=4 | hider=+2.116  (9ep) | seeker=-2.139  (9ep)
Iter 83 | Steps 169984 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.742  (9ep)
Iter 84 | Steps 172032 | Pools h=4 s=4 | hider=+2.160  (9ep) | seeker=-1.943  (9ep)
Iter 85 | Steps 174080 | Pools h=4 s=4 | hider=+2.245  (8ep) | seeker=-2.151  (9ep)
Iter 86 | Steps 176128 | Pools h=4 s=4 | hider=+1.979  (9ep) | seeker=-1.821  (9ep)
Iter 87 | Steps 178176 | Pools h=4 s=4 | hider=+2.201  (8ep) | seeker=-1.994  (9ep)
Iter 88 | Steps 180224 | Pools h=4 s=4 | hider=+1.614  (10ep) | seeker=-2.144  (9ep)
