Steps: 2048 | Eps: 8 | hider=   +2.4* | seeker=   -2.4*
Steps: 4096 | Eps: 9 | hider=   +2.2  | seeker=   -2.2*
Steps: 6144 | Eps: 9 | hider=   +2.4  | seeker=   -2.4 
Steps: 8192 | Eps: 9 | hider=   +2.2  | seeker=   -2.2*
Steps: 10240 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 12288 | Eps: 10 | hider=   +2.0  | seeker=   -2.0*
Steps: 14336 | Eps: 9 | hider=   +2.4  | seeker=   -2.4 
Steps: 16384 | Eps: 10 | hider=   +2.0  | seeker=   -2.0*
Steps: 18432 | Eps: 9 | hider=   +2.4  | seeker=   -2.4 
Steps: 20480 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 22528 | Eps: 8 | hider=   +2.4  | seeker=   -2.4 
Steps: 24576 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 26624 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 28672 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 30720 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 32768 | Eps: 12 | hider=   +1.8  | seeker=   -1.8*
Steps: 34816 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 36864 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 38912 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 40960 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 43008 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 45056 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 47104 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 49152 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 51200 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 53248 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 55296 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 57344 | Eps: 8 | hider=   +2.4  | seeker=   -2.4 
Steps: 59392 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 61440 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
