[train_hs2] 2v2 layout=open boxes=6 obs=55 steps=10000000 saving to hs_2v2_*.pt
Iter 1 | Steps 2048 | Pools h=1 s=1 | hider=-0.970* hid=0.01 (8ep) | seeker=+0.656* hid=0.17 (8ep)
Iter 2 | Steps 4096 | Pools h=2 s=2 | hider=-1.000  hid=0.00 (8ep) | seeker=+0.632  hid=0.18 (8ep)
Iter 3 | Steps 6144 | Pools h=2 s=2 | hider=-0.910* hid=0.05 (8ep) | seeker=+0.731* hid=0.13 (8ep)
Iter 4 | Steps 8192 | Pools h=3 s=3 | hider=-0.613* hid=0.19 (8ep) | seeker=+1.000* hid=0.00 (8ep)
Iter 5 | Steps 10240 | Pools h=4 s=4 | hider=-0.849  hid=0.08 (8ep) | seeker=+0.818  hid=0.09 (8ep)
Iter 6 | Steps 12288 | Pools h=4 s=4 | hider=-0.785  hid=0.11 (8ep) | seeker=+0.745  hid=0.13 (8ep)
Iter 7 | Steps 14336 | Pools h=4 s=4 | hider=-0.863  hid=0.07 (8ep) | seeker=+0.752  hid=0.12 (8ep)
Iter 8 | Steps 16384 | Pools h=4 s=4 | hider=-0.905  hid=0.05 (8ep) | seeker=+0.872  hid=0.06 (8ep)
Iter 9 | Steps 18432 | Pools h=4 s=4 | hider=-0.875  hid=0.06 (8ep) | seeker=+0.715  hid=0.14 (8ep)
Iter 10 | Steps 20480 | Pools h=4 s=4 | hider=-0.764  hid=0.12 (8ep) | seeker=+0.953  hid=0.02 (8ep)
Iter 11 | Steps 22528 | Pools h=4 s=4 | hider=-0.691  hid=0.15 (8ep) | seeker=+0.800  hid=0.10 (8ep)
Iter 12 | Steps 24576 | Pools h=4 s=4 | hider=-0.700  hid=0.15 (8ep) | seeker=+0.953  hid=0.02 (8ep)
Iter 13 | Steps 26624 | Pools h=4 s=4 | hider=-0.771  hid=0.11 (8ep) | seeker=+0.844  hid=0.08 (8ep)
Iter 14 | Steps 28672 | Pools h=4 s=4 | hider=-0.984  hid=0.01 (8ep) | seeker=+0.877  hid=0.06 (8ep)
Iter 15 | Steps 30720 | Pools h=4 s=4 | hider=-0.845  hid=0.08 (8ep) | seeker=+0.948  hid=0.03 (8ep)
