[arc] layout=roomt seeker_speed=1.4x DOOR_Y=148.0 FAR_Y=105.0 | 10 envs x 800 = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[arc] warm-started hider from hs_roomt_hider.pt
[arc] warm-started seeker from hs_lstm_seeker.pt
Iter 1 | Steps 8000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.890* hid=0.95 (20ep) | seeker=-0.877* hid=0.94 (20ep) | barr=0.50 elev=0.08 rlock=0.00
Iter 2 | Steps 16000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.947* hid=0.97 (20ep) | seeker=-0.869* hid=0.93 (20ep) | barr=0.57 elev=0.06 rlock=0.07
Iter 3 | Steps 24000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.877  hid=0.94 (20ep) | seeker=-0.835* hid=0.92 (20ep) | barr=0.47 elev=0.04 rlock=0.05
Iter 4 | Steps 32000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.836  hid=0.92 (20ep) | seeker=-0.793* hid=0.90 (20ep) | barr=0.62 elev=0.07 rlock=0.10
Iter 5 | Steps 40000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.837  hid=0.92 (20ep) | seeker=-0.943  hid=0.97 (20ep) | barr=0.70 elev=0.06 rlock=0.07
Iter 6 | Steps 48000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.719  hid=0.86 (20ep) | seeker=-0.849  hid=0.92 (20ep) | barr=0.57 elev=0.07 rlock=0.10
Iter 7 | Steps 56000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.705  hid=0.85 (20ep) | seeker=-0.742* hid=0.87 (20ep) | barr=0.42 elev=0.12 rlock=0.05
Iter 8 | Steps 64000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.731  hid=0.87 (20ep) | seeker=-0.869  hid=0.93 (20ep) | barr=0.57 elev=0.06 rlock=0.05
Iter 9 | Steps 72000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.715  hid=0.86 (20ep) | seeker=-0.803  hid=0.90 (20ep) | barr=0.60 elev=0.06 rlock=0.07
Iter 10 | Steps 80000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.986* hid=0.99 (20ep) | seeker=-0.788  hid=0.89 (20ep) | barr=0.62 elev=0.03 rlock=0.05
Iter 11 | Steps 88000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=1.00 s=0.61 | hider=+0.802  hid=0.90 (20ep) | seeker=-0.770  hid=0.89 (20ep) | barr=0.50 elev=0.07 rlock=0.07
