[train_hs7] 1v2 room+ramp obs=33 steps=20000000 s2=0-0 hidden=256 saving to hs_ramp_*.pt
[train_hs7] hider: warm-started from hs_ramp_w_hider.pt (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=256)
Iter 1 | Steps 8192 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.781* hid=0.89 (22ep) | seeker=-0.513* hid=0.76 (22ep) | barr=0.14 elev=0.10 rlock=0.05
Iter 2 | Steps 16384 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.649  hid=0.82 (22ep) | seeker=-0.506* hid=0.75 (22ep) | barr=0.14 elev=0.11 rlock=0.02
Iter 3 | Steps 24576 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.465  hid=0.73 (22ep) | seeker=-0.559  hid=0.78 (22ep) | barr=0.05 elev=0.16 rlock=0.02
Iter 4 | Steps 32768 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.662  hid=0.83 (22ep) | seeker=-0.291* hid=0.65 (22ep) | barr=0.11 elev=0.14 rlock=0.05
Iter 5 | Steps 40960 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.554  hid=0.78 (22ep) | seeker=-0.783  hid=0.89 (22ep) | barr=0.16 elev=0.12 rlock=0.05
Iter 6 | Steps 49152 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.211  hid=0.61 (22ep) | seeker=-0.469  hid=0.73 (22ep) | barr=0.09 elev=0.19 rlock=0.07
Iter 7 | Steps 57344 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.628  hid=0.81 (22ep) | seeker=-0.809  hid=0.90 (22ep) | barr=0.00 elev=0.16 rlock=0.00
Iter 8 | Steps 65536 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.646  hid=0.82 (22ep) | seeker=-0.210* hid=0.61 (22ep) | barr=0.14 elev=0.23 rlock=0.09
Iter 9 | Steps 73728 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.490  hid=0.75 (22ep) | seeker=-0.247  hid=0.62 (22ep) | barr=0.11 elev=0.19 rlock=0.09
Iter 10 | Steps 81920 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.494  hid=0.75 (22ep) | seeker=-0.272  hid=0.64 (22ep) | barr=0.11 elev=0.18 rlock=0.14
Iter 11 | Steps 90112 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.513  hid=0.76 (22ep) | seeker=-0.445  hid=0.72 (22ep) | barr=0.07 elev=0.17 rlock=0.07
Iter 12 | Steps 98304 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.362  hid=0.68 (22ep) | seeker=-0.533  hid=0.77 (22ep) | barr=0.07 elev=0.17 rlock=0.11
