[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=100000000 s2=0-0 hidden=256
[vec] warm-started both teams from hs_lstm20m_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:221: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 1 | Steps 8000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.161* hid=0.58 (20ep) | seeker=-0.372* hid=0.69 (20ep) | barr=0.12 elev=0.36 rlock=0.05
Iter 2 | Steps 16000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.488* hid=0.74 (20ep) | seeker=-0.372* hid=0.69 (20ep) | barr=0.12 elev=0.28 rlock=0.03
Iter 3 | Steps 24000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.340  hid=0.67 (20ep) | seeker=-0.206* hid=0.60 (20ep) | barr=0.20 elev=0.30 rlock=0.05
Iter 4 | Steps 32000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.690* hid=0.84 (20ep) | seeker=-0.284  hid=0.64 (20ep) | barr=0.15 elev=0.25 rlock=0.07
Iter 5 | Steps 40000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.294  hid=0.65 (20ep) | seeker=-0.486  hid=0.74 (20ep) | barr=0.07 elev=0.28 rlock=0.05
Iter 6 | Steps 48000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.505  hid=0.75 (20ep) | seeker=-0.661  hid=0.83 (20ep) | barr=0.17 elev=0.19 rlock=0.07
Iter 7 | Steps 56000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.429  hid=0.71 (20ep) | seeker=-0.547  hid=0.77 (20ep) | barr=0.17 elev=0.23 rlock=0.03
Iter 8 | Steps 64000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.598  hid=0.80 (20ep) | seeker=-0.294  hid=0.65 (20ep) | barr=0.17 elev=0.24 rlock=0.07
Iter 9 | Steps 72000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.440  hid=0.72 (20ep) | seeker=-0.540  hid=0.77 (20ep) | barr=0.25 elev=0.16 rlock=0.07
Iter 10 | Steps 80000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.466  hid=0.73 (20ep) | seeker=-0.650  hid=0.82 (20ep) | barr=0.10 elev=0.17 rlock=0.03
Iter 11 | Steps 88000 | Pools h=1 s=1 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.543  hid=0.77 (20ep) | seeker=-0.513  hid=0.76 (20ep) | barr=0.10 elev=0.18 rlock=0.00
