[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=40000000 s2=6000000-12000000 hidden=256
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:216: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 1 | Steps 8000 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.870* hid=0.94 (20ep) | seeker=-0.740* hid=0.87 (20ep) | barr=0.20 elev=0.11 rlock=0.10
Iter 2 | Steps 16000 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.706  hid=0.85 (20ep) | seeker=-0.810  hid=0.90 (20ep) | barr=0.12 elev=0.10 rlock=0.07
Iter 3 | Steps 24000 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.711  hid=0.86 (20ep) | seeker=-0.942  hid=0.97 (20ep) | barr=0.07 elev=0.10 rlock=0.03
Iter 4 | Steps 32000 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.697  hid=0.85 (20ep) | seeker=-0.925  hid=0.96 (20ep) | barr=0.10 elev=0.09 rlock=0.07
Iter 5 | Steps 40000 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.665  hid=0.83 (20ep) | seeker=-0.810  hid=0.90 (20ep) | barr=0.15 elev=0.08 rlock=0.00
Iter 6 | Steps 48000 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.641  hid=0.82 (20ep) | seeker=-0.932  hid=0.97 (20ep) | barr=0.12 elev=0.09 rlock=0.00
Iter 7 | Steps 56000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.670  hid=0.83 (20ep) | seeker=-0.798  hid=0.90 (20ep) | barr=0.17 elev=0.14 rlock=0.12
Iter 8 | Steps 64000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.669  hid=0.83 (20ep) | seeker=-0.783  hid=0.89 (20ep) | barr=0.15 elev=0.16 rlock=0.07
Iter 9 | Steps 72000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.767  hid=0.88 (20ep) | seeker=-0.594* hid=0.80 (20ep) | barr=0.10 elev=0.07 rlock=0.07
Iter 10 | Steps 80000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.692  hid=0.85 (20ep) | seeker=-0.742  hid=0.87 (20ep) | barr=0.07 elev=0.13 rlock=0.05
Iter 11 | Steps 88000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.708  hid=0.85 (20ep) | seeker=-0.892  hid=0.95 (20ep) | barr=0.20 elev=0.11 rlock=0.10
Iter 12 | Steps 96000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.986* hid=0.99 (20ep) | seeker=-0.617  hid=0.81 (20ep) | barr=0.00 elev=0.06 rlock=0.03
Iter 13 | Steps 104000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.810  hid=0.90 (20ep) | seeker=-0.813  hid=0.91 (20ep) | barr=0.17 elev=0.14 rlock=0.07
Iter 14 | Steps 112000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.676  hid=0.84 (20ep) | seeker=-0.838  hid=0.92 (20ep) | barr=0.17 elev=0.19 rlock=0.07
Iter 15 | Steps 120000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.678  hid=0.84 (20ep) | seeker=-0.712  hid=0.86 (20ep) | barr=0.07 elev=0.10 rlock=0.05
Iter 16 | Steps 128000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.745  hid=0.87 (20ep) | seeker=-0.969  hid=0.98 (20ep) | barr=0.20 elev=0.12 rlock=0.03
Iter 17 | Steps 136000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.727  hid=0.86 (20ep) | seeker=-0.768  hid=0.88 (20ep) | barr=0.15 elev=0.15 rlock=0.10
Iter 18 | Steps 144000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.522  hid=0.76 (20ep) | seeker=-0.834  hid=0.92 (20ep) | barr=0.10 elev=0.15 rlock=0.03
Iter 19 | Steps 152000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.706  hid=0.85 (20ep) | seeker=-0.915  hid=0.96 (20ep) | barr=0.17 elev=0.08 rlock=0.12
Iter 20 | Steps 160000 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.743  hid=0.87 (20ep) | seeker=-0.688  hid=0.84 (20ep) | barr=0.20 elev=0.24 rlock=0.07
Iter 21 | Steps 168000 | Pools h=2 s=2 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.911  hid=0.96 (20ep) | seeker=-0.921  hid=0.96 (20ep) | barr=0.05 elev=0.16 rlock=0.12
Iter 22 | Steps 176000 | Pools h=2 s=2 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.757  hid=0.88 (20ep) | seeker=-0.912  hid=0.96 (20ep) | barr=0.30 elev=0.15 rlock=0.00
Iter 23 | Steps 184000 | Pools h=2 s=2 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.749  hid=0.87 (20ep) | seeker=-0.461* hid=0.73 (20ep) | barr=0.17 elev=0.13 rlock=0.15
Iter 24 | Steps 192000 | Pools h=2 s=2 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.818  hid=0.91 (20ep) | seeker=-0.832  hid=0.92 (20ep) | barr=0.12 elev=0.11 rlock=0.15
Iter 25 | Steps 200000 | Pools h=2 s=2 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.684  hid=0.84 (20ep) | seeker=-0.627  hid=0.81 (20ep) | barr=0.07 elev=0.09 rlock=0.10
Iter 26 | Steps 208000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.906  hid=0.95 (20ep) | seeker=-0.872  hid=0.94 (20ep) | barr=0.17 elev=0.12 rlock=0.00
Iter 27 | Steps 216000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.706  hid=0.85 (20ep) | seeker=-0.545  hid=0.77 (20ep) | barr=0.15 elev=0.12 rlock=0.12
Iter 28 | Steps 224000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.803  hid=0.90 (20ep) | seeker=-0.928  hid=0.96 (20ep) | barr=0.05 elev=0.18 rlock=0.10
Iter 29 | Steps 232000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.862  hid=0.93 (20ep) | seeker=-0.704  hid=0.85 (20ep) | barr=0.17 elev=0.08 rlock=0.10
Iter 30 | Steps 240000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.888  hid=0.94 (20ep) | seeker=-0.776  hid=0.89 (20ep) | barr=0.15 elev=0.12 rlock=0.07
Iter 31 | Steps 248000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.763  hid=0.88 (20ep) | seeker=-0.833  hid=0.92 (20ep) | barr=0.03 elev=0.09 rlock=0.10
Iter 32 | Steps 256000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.494  hid=0.75 (20ep) | seeker=-0.741  hid=0.87 (20ep) | barr=0.12 elev=0.26 rlock=0.00
Iter 33 | Steps 264000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.909  hid=0.95 (20ep) | seeker=-0.633  hid=0.82 (20ep) | barr=0.07 elev=0.11 rlock=0.03
Iter 34 | Steps 272000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.866  hid=0.93 (20ep) | seeker=-0.654  hid=0.83 (20ep) | barr=0.12 elev=0.09 rlock=0.05
Iter 35 | Steps 280000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.824  hid=0.91 (20ep) | seeker=-0.747  hid=0.87 (20ep) | barr=0.10 elev=0.16 rlock=0.10
Iter 36 | Steps 288000 | Pools h=2 s=2 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.913  hid=0.96 (20ep) | seeker=-0.788  hid=0.89 (20ep) | barr=0.15 elev=0.16 rlock=0.07
Iter 37 | Steps 296000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.734  hid=0.87 (20ep) | seeker=-0.693  hid=0.85 (20ep) | barr=0.10 elev=0.13 rlock=0.03
Iter 38 | Steps 304000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.769  hid=0.88 (20ep) | seeker=-0.882  hid=0.94 (20ep) | barr=0.05 elev=0.12 rlock=0.05
Iter 39 | Steps 312000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.628  hid=0.81 (20ep) | seeker=-0.929  hid=0.96 (20ep) | barr=0.15 elev=0.07 rlock=0.10
Iter 40 | Steps 320000 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.849  hid=0.92 (20ep) | seeker=-0.863  hid=0.93 (20ep) | barr=0.15 elev=0.15 rlock=0.03
Iter 41 | Steps 328000 | Pools h=3 s=3 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.794  hid=0.90 (20ep) | seeker=-0.846  hid=0.92 (20ep) | barr=0.23 elev=0.24 rlock=0.05
Iter 42 | Steps 336000 | Pools h=3 s=3 | p2=0.00 | std h=0.99 s=1.00 | hider=+0.848  hid=0.92 (20ep) | seeker=-0.786  hid=0.89 (20ep) | barr=0.15 elev=0.09 rlock=0.03
Iter 43 | Steps 344000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.907  hid=0.95 (20ep) | seeker=-0.661  hid=0.83 (20ep) | barr=0.15 elev=0.13 rlock=0.10
Iter 44 | Steps 352000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.792  hid=0.90 (20ep) | seeker=-0.873  hid=0.94 (20ep) | barr=0.20 elev=0.10 rlock=0.05
