[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 1 | Steps 8000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.208* hid=0.60 (20ep) | seeker=-0.468* hid=0.73 (20ep) | barr=0.70 elev=0.33 rlock=0.03
Iter 2 | Steps 16000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.553* hid=0.78 (20ep) | seeker=-0.419* hid=0.71 (20ep) | barr=0.80 elev=0.28 rlock=0.05
Iter 3 | Steps 24000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.525  hid=0.76 (20ep) | seeker=-0.362* hid=0.68 (20ep) | barr=0.68 elev=0.31 rlock=0.05
Iter 4 | Steps 32000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.683* hid=0.84 (20ep) | seeker=-0.352* hid=0.68 (20ep) | barr=0.78 elev=0.24 rlock=0.03
Iter 5 | Steps 40000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.555  hid=0.78 (20ep) | seeker=-0.491  hid=0.75 (20ep) | barr=0.68 elev=0.24 rlock=0.05
Iter 6 | Steps 48000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.474  hid=0.74 (20ep) | seeker=-0.513  hid=0.76 (20ep) | barr=0.62 elev=0.18 rlock=0.10
Iter 7 | Steps 56000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.605  hid=0.80 (20ep) | seeker=-0.418  hid=0.71 (20ep) | barr=0.65 elev=0.26 rlock=0.07
Iter 8 | Steps 64000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.448  hid=0.72 (20ep) | seeker=-0.709  hid=0.85 (20ep) | barr=0.75 elev=0.26 rlock=0.03
Iter 9 | Steps 72000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.415  hid=0.71 (20ep) | seeker=-0.660  hid=0.83 (20ep) | barr=0.60 elev=0.27 rlock=0.00
Iter 10 | Steps 80000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.297  hid=0.65 (20ep) | seeker=-0.511  hid=0.76 (20ep) | barr=0.80 elev=0.31 rlock=0.00
Iter 11 | Steps 88000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.509  hid=0.75 (20ep) | seeker=-0.468  hid=0.73 (20ep) | barr=0.78 elev=0.24 rlock=0.07
