[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 1 | Steps 8000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.296* hid=0.65 (20ep) | seeker=-0.250* hid=0.62 (20ep) | barr=0.75 elev=0.42 rlock=0.10
Iter 2 | Steps 16000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.397* hid=0.70 (20ep) | seeker=-0.280  hid=0.64 (20ep) | barr=0.75 elev=0.32 rlock=0.07
Iter 3 | Steps 24000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.675* hid=0.84 (20ep) | seeker=-0.772  hid=0.89 (20ep) | barr=0.72 elev=0.20 rlock=0.05
Iter 4 | Steps 32000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.662  hid=0.83 (20ep) | seeker=-0.602  hid=0.80 (20ep) | barr=0.78 elev=0.21 rlock=0.03
Iter 5 | Steps 40000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.364  hid=0.68 (20ep) | seeker=-0.610  hid=0.80 (20ep) | barr=0.78 elev=0.26 rlock=0.00
Iter 6 | Steps 48000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.450  hid=0.72 (20ep) | seeker=-0.460  hid=0.73 (20ep) | barr=0.75 elev=0.29 rlock=0.05
Iter 7 | Steps 56000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.90 s=0.61 | hider=+0.385  hid=0.69 (20ep) | seeker=-0.598  hid=0.80 (20ep) | barr=0.88 elev=0.29 rlock=0.15
Iter 8 | Steps 64000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.607  hid=0.80 (20ep) | seeker=-0.665  hid=0.83 (20ep) | barr=0.75 elev=0.17 rlock=0.10
Iter 9 | Steps 72000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.60 | hider=+0.371  hid=0.69 (20ep) | seeker=-0.633  hid=0.82 (20ep) | barr=0.85 elev=0.23 rlock=0.05
Iter 10 | Steps 80000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.637  hid=0.82 (20ep) | seeker=-0.517  hid=0.76 (20ep) | barr=0.75 elev=0.21 rlock=0.00
Iter 11 | Steps 88000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.644  hid=0.82 (20ep) | seeker=-0.567  hid=0.78 (20ep) | barr=0.62 elev=0.24 rlock=0.07
Iter 12 | Steps 96000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.571  hid=0.79 (20ep) | seeker=-0.820  hid=0.91 (20ep) | barr=0.70 elev=0.17 rlock=0.07
Iter 13 | Steps 104000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.420  hid=0.71 (20ep) | seeker=-0.514  hid=0.76 (20ep) | barr=0.80 elev=0.25 rlock=0.05
Iter 14 | Steps 112000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.629  hid=0.81 (20ep) | seeker=-0.708  hid=0.85 (20ep) | barr=0.82 elev=0.24 rlock=0.10
Iter 15 | Steps 120000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.664  hid=0.83 (20ep) | seeker=-0.335  hid=0.67 (20ep) | barr=0.68 elev=0.24 rlock=0.05
Iter 16 | Steps 128000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.370  hid=0.68 (20ep) | seeker=-0.325  hid=0.66 (20ep) | barr=0.72 elev=0.34 rlock=0.07
Iter 17 | Steps 136000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.369  hid=0.68 (20ep) | seeker=-0.833  hid=0.92 (20ep) | barr=0.70 elev=0.22 rlock=0.03
Iter 18 | Steps 144000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.539  hid=0.77 (20ep) | seeker=-0.500  hid=0.75 (20ep) | barr=0.75 elev=0.27 rlock=0.03
Iter 19 | Steps 152000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.524  hid=0.76 (20ep) | seeker=-0.460  hid=0.73 (20ep) | barr=0.65 elev=0.31 rlock=0.03
Iter 20 | Steps 160000 | Pools h=1 s=1 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.732* hid=0.87 (20ep) | seeker=-0.538  hid=0.77 (20ep) | barr=0.70 elev=0.22 rlock=0.00
Iter 21 | Steps 168000 | Pools h=2 s=2 | ph=A/prelock(0.00) | std h=0.89 s=0.61 | hider=+0.582  hid=0.79 (20ep) | seeker=-0.677  hid=0.84 (20ep) | barr=0.75 elev=0.23 rlock=0.03
Iter 22 | Steps 176000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.394  hid=0.70 (20ep) | seeker=-0.378  hid=0.69 (20ep) | barr=0.68 elev=0.31 rlock=0.03
Iter 23 | Steps 184000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.238  hid=0.62 (20ep) | seeker=-0.779  hid=0.89 (20ep) | barr=0.80 elev=0.25 rlock=0.07
Iter 24 | Steps 192000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.507  hid=0.75 (20ep) | seeker=-0.526  hid=0.76 (20ep) | barr=0.82 elev=0.26 rlock=0.05
Iter 25 | Steps 200000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.541  hid=0.77 (20ep) | seeker=-0.728  hid=0.86 (20ep) | barr=0.75 elev=0.17 rlock=0.07
Iter 26 | Steps 208000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.401  hid=0.70 (20ep) | seeker=-0.354  hid=0.68 (20ep) | barr=0.72 elev=0.30 rlock=0.07
Iter 27 | Steps 216000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.744* hid=0.87 (20ep) | seeker=-0.464  hid=0.73 (20ep) | barr=0.78 elev=0.20 rlock=0.07
Iter 28 | Steps 224000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.372  hid=0.69 (20ep) | seeker=-0.478  hid=0.74 (20ep) | barr=0.60 elev=0.27 rlock=0.10
Iter 29 | Steps 232000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.504  hid=0.75 (20ep) | seeker=-0.391  hid=0.70 (20ep) | barr=0.70 elev=0.24 rlock=0.07
Iter 30 | Steps 240000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.571  hid=0.79 (20ep) | seeker=-0.664  hid=0.83 (20ep) | barr=0.80 elev=0.23 rlock=0.00
