[train_hs7_lstm] 1v2 room+ramp LSTM obs=33 steps=40000000 s2=6000000-12000000 hidden=256 rollout=8192 -> hs_lstm_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm.py:191: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 1 | Steps 8192 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.812* hid=0.91 (22ep) | seeker=-0.810* hid=0.91 (22ep) | barr=0.20 elev=0.10 rlock=0.05
Iter 2 | Steps 16384 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.834* hid=0.92 (22ep) | seeker=-0.721* hid=0.86 (22ep) | barr=0.09 elev=0.09 rlock=0.07
Iter 3 | Steps 24576 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=1.00 | hider=+0.798  hid=0.90 (22ep) | seeker=-0.697* hid=0.85 (22ep) | barr=0.18 elev=0.15 rlock=0.09
Iter 4 | Steps 32768 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.612  hid=0.81 (22ep) | seeker=-0.750  hid=0.88 (22ep) | barr=0.07 elev=0.14 rlock=0.00
Iter 5 | Steps 40960 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.619  hid=0.81 (22ep) | seeker=-0.798  hid=0.90 (22ep) | barr=0.05 elev=0.16 rlock=0.16
Iter 6 | Steps 49152 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.676  hid=0.84 (22ep) | seeker=-0.918  hid=0.96 (22ep) | barr=0.07 elev=0.10 rlock=0.02
Iter 7 | Steps 57344 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.848* hid=0.92 (22ep) | seeker=-0.779  hid=0.89 (22ep) | barr=0.05 elev=0.12 rlock=0.07
Iter 8 | Steps 65536 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.850* hid=0.92 (22ep) | seeker=-0.846  hid=0.92 (22ep) | barr=0.07 elev=0.16 rlock=0.07
Iter 9 | Steps 73728 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.910* hid=0.95 (22ep) | seeker=-0.728  hid=0.86 (22ep) | barr=0.16 elev=0.12 rlock=0.02
Iter 10 | Steps 81920 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.783  hid=0.89 (22ep) | seeker=-0.771  hid=0.89 (22ep) | barr=0.11 elev=0.06 rlock=0.02
Iter 11 | Steps 90112 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.844  hid=0.92 (22ep) | seeker=-0.785  hid=0.89 (22ep) | barr=0.11 elev=0.11 rlock=0.11
