[train_hs7] room+ramp 1v1 obs=28 steps=40000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: fresh net (hidden=256)
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 1 | Steps 2048 | Pools h=1 s=1 | pR=1.00 | std h=1.00 s=1.00 | hider=+0.846* hid=0.92 (5ep) | seeker=-0.935* hid=0.97 (5ep) | barr=0.20 elev=nan rlock=nan
Iter 2 | Steps 4096 | Pools h=1 s=1 | pR=1.00 | std h=1.00 s=0.99 | hider=+0.796  hid=0.90 (5ep) | seeker=-0.817* hid=0.91 (5ep) | barr=0.00 elev=0.05 rlock=0.20
Iter 3 | Steps 6144 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.99 | hider=+0.989* hid=0.99 (5ep) | seeker=-0.639* hid=0.82 (5ep) | barr=0.20 elev=0.06 rlock=0.00
Iter 4 | Steps 8192 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.99 | hider=+0.152  hid=0.58 (5ep) | seeker=-0.881  hid=0.94 (5ep) | barr=0.00 elev=0.03 rlock=0.10
Iter 5 | Steps 10240 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.99 | hider=+0.756  hid=0.88 (5ep) | seeker=-0.480* hid=0.74 (5ep) | barr=0.00 elev=0.08 rlock=0.20
Iter 6 | Steps 12288 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.961  hid=0.98 (5ep) | seeker=-0.541  hid=0.77 (5ep) | barr=0.20 elev=0.14 rlock=0.00
Iter 7 | Steps 14336 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.941  hid=0.97 (5ep) | seeker=-0.894  hid=0.95 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 8 | Steps 16384 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.97 | hider=+0.974  hid=0.99 (5ep) | seeker=-0.852  hid=0.93 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 9 | Steps 18432 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.97 | hider=+0.802  hid=0.90 (5ep) | seeker=-0.950  hid=0.97 (5ep) | barr=0.10 elev=0.02 rlock=0.00
Iter 10 | Steps 20480 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.97 | hider=+0.987  hid=0.99 (5ep) | seeker=-0.943  hid=0.97 (5ep) | barr=0.30 elev=0.01 rlock=0.10
Iter 11 | Steps 22528 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.97 | hider=+0.585  hid=0.79 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.10
Iter 12 | Steps 24576 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.97 | hider=+0.913  hid=0.96 (5ep) | seeker=-0.898  hid=0.95 (5ep) | barr=0.30 elev=0.03 rlock=0.00
Iter 13 | Steps 26624 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.876  hid=0.94 (5ep) | seeker=-0.874  hid=0.94 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 14 | Steps 28672 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.99 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.848  hid=0.92 (5ep) | barr=0.20 elev=0.03 rlock=0.30
Iter 15 | Steps 30720 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.99 | hider=+0.819  hid=0.91 (5ep) | seeker=-0.931  hid=0.97 (5ep) | barr=0.10 elev=0.06 rlock=0.10
Iter 16 | Steps 32768 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.948  hid=0.97 (5ep) | seeker=-0.769  hid=0.88 (5ep) | barr=0.10 elev=0.05 rlock=0.00
Iter 17 | Steps 34816 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.435  hid=0.72 (5ep) | seeker=-0.872  hid=0.94 (5ep) | barr=0.30 elev=0.15 rlock=0.00
Iter 18 | Steps 36864 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.785  hid=0.89 (5ep) | seeker=-0.502  hid=0.75 (5ep) | barr=0.10 elev=0.07 rlock=0.20
Iter 19 | Steps 38912 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.993* hid=1.00 (5ep) | seeker=-0.844  hid=0.92 (5ep) | barr=0.00 elev=0.01 rlock=0.10
Iter 20 | Steps 40960 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.746  hid=0.87 (5ep) | seeker=-0.881  hid=0.94 (5ep) | barr=0.30 elev=0.04 rlock=0.00
Iter 21 | Steps 43008 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.917  hid=0.96 (5ep) | seeker=+0.209* hid=0.40 (5ep) | barr=0.00 elev=0.03 rlock=0.10
Iter 22 | Steps 45056 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.180  hid=0.59 (5ep) | seeker=-0.591  hid=0.80 (5ep) | barr=0.10 elev=0.02 rlock=0.00
Iter 23 | Steps 47104 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.972  hid=0.99 (5ep) | seeker=-0.607  hid=0.80 (5ep) | barr=0.20 elev=0.07 rlock=0.00
Iter 24 | Steps 49152 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.911  hid=0.96 (5ep) | seeker=-0.850  hid=0.93 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 25 | Steps 51200 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.757  hid=0.88 (5ep) | seeker=-0.969  hid=0.98 (5ep) | barr=0.20 elev=0.05 rlock=0.10
Iter 26 | Steps 53248 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.839  hid=0.92 (5ep) | seeker=-0.676  hid=0.84 (5ep) | barr=0.00 elev=0.05 rlock=0.10
Iter 27 | Steps 55296 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.607  hid=0.80 (5ep) | barr=0.10 elev=0.06 rlock=0.30
Iter 28 | Steps 57344 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.98 | hider=+0.509  hid=0.75 (5ep) | seeker=-0.478  hid=0.74 (5ep) | barr=0.10 elev=0.05 rlock=0.20
Iter 29 | Steps 59392 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.99 | hider=+0.922  hid=0.96 (5ep) | seeker=-0.970  hid=0.99 (5ep) | barr=0.10 elev=0.02 rlock=0.10
Iter 30 | Steps 61440 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.99 | hider=+0.472  hid=0.74 (5ep) | seeker=-0.726  hid=0.86 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 31 | Steps 63488 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.99 | hider=+0.472  hid=0.74 (5ep) | seeker=-0.811  hid=0.91 (5ep) | barr=0.20 elev=0.05 rlock=0.00
Iter 32 | Steps 65536 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.99 | hider=+0.974  hid=0.99 (5ep) | seeker=-0.906  hid=0.95 (5ep) | barr=0.10 elev=0.09 rlock=0.00
Iter 33 | Steps 67584 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.99 | hider=+0.520  hid=0.76 (5ep) | seeker=-0.974  hid=0.99 (5ep) | barr=0.20 elev=0.03 rlock=0.00
Iter 34 | Steps 69632 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.99 | hider=+0.881  hid=0.94 (5ep) | seeker=-0.920  hid=0.96 (5ep) | barr=0.00 elev=0.01 rlock=0.10
Iter 35 | Steps 71680 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.99 | hider=+0.383  hid=0.69 (5ep) | seeker=-0.787  hid=0.89 (5ep) | barr=0.10 elev=0.04 rlock=0.10
Iter 36 | Steps 73728 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.99 | hider=+0.967  hid=0.98 (5ep) | seeker=-0.833  hid=0.92 (5ep) | barr=0.30 elev=0.05 rlock=0.00
Iter 37 | Steps 75776 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.99 | hider=+0.913  hid=0.96 (5ep) | seeker=-0.883  hid=0.94 (5ep) | barr=0.10 elev=0.06 rlock=0.00
Iter 38 | Steps 77824 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.99 | hider=+0.957  hid=0.98 (5ep) | seeker=-0.270  hid=0.64 (5ep) | barr=0.00 elev=0.11 rlock=0.10
Iter 39 | Steps 79872 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.99 | hider=+0.481  hid=0.74 (5ep) | seeker=-0.804  hid=0.90 (5ep) | barr=0.10 elev=0.04 rlock=0.00
Iter 40 | Steps 81920 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.931  hid=0.97 (5ep) | seeker=-0.939  hid=0.97 (5ep) | barr=0.30 elev=0.01 rlock=0.00
Iter 41 | Steps 83968 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.587  hid=0.79 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.40 elev=0.03 rlock=0.00
Iter 42 | Steps 86016 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.943  hid=0.97 (5ep) | seeker=-0.657  hid=0.83 (5ep) | barr=0.10 elev=0.01 rlock=0.00
Iter 43 | Steps 88064 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.99 | hider=+0.800  hid=0.90 (5ep) | seeker=-0.454  hid=0.73 (5ep) | barr=0.40 elev=0.04 rlock=0.30
Iter 44 | Steps 90112 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.754  hid=0.88 (5ep) | seeker=-0.715  hid=0.86 (5ep) | barr=0.10 elev=0.05 rlock=0.00
Iter 45 | Steps 92160 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.746  hid=0.87 (5ep) | seeker=-0.674  hid=0.84 (5ep) | barr=0.20 elev=0.09 rlock=0.00
Iter 46 | Steps 94208 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.926  hid=0.96 (5ep) | seeker=-0.489  hid=0.74 (5ep) | barr=0.30 elev=0.05 rlock=0.10
Iter 47 | Steps 96256 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.344  hid=0.67 (5ep) | seeker=-0.644  hid=0.82 (5ep) | barr=0.10 elev=0.09 rlock=0.20
Iter 48 | Steps 98304 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.728  hid=0.86 (5ep) | seeker=-0.430  hid=0.71 (5ep) | barr=0.10 elev=0.02 rlock=0.10
Iter 49 | Steps 100352 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+1.000* hid=1.00 (5ep) | seeker=-0.754  hid=0.88 (5ep) | barr=0.10 elev=0.08 rlock=0.00
Iter 50 | Steps 102400 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.998  hid=1.00 (5ep) | seeker=-0.920  hid=0.96 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 51 | Steps 104448 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.954  hid=0.98 (5ep) | seeker=-0.804  hid=0.90 (5ep) | barr=0.20 elev=0.06 rlock=0.10
Iter 52 | Steps 106496 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.98 | hider=+0.456  hid=0.73 (5ep) | seeker=-0.374  hid=0.69 (5ep) | barr=0.10 elev=0.01 rlock=0.30
Iter 53 | Steps 108544 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.969  hid=0.98 (5ep) | seeker=-0.872  hid=0.94 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 54 | Steps 110592 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.865  hid=0.93 (5ep) | seeker=-0.685  hid=0.84 (5ep) | barr=0.40 elev=0.02 rlock=0.00
Iter 55 | Steps 112640 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.97 | hider=+0.809  hid=0.90 (5ep) | seeker=-0.837  hid=0.92 (5ep) | barr=0.20 elev=0.07 rlock=0.00
