[train_hs7] room+ramp 1v1 obs=28 steps=12000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=128)
[train_hs7] best-response mode: training hider only, opponent fixed
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 1 | Steps 2048 | Pools h=1 s=1 | pR=1.00 | std h=1.00 s=0.73 | hider=+0.789* hid=0.89 (5ep) | barr=0.20 elev=nan rlock=nan
Iter 2 | Steps 4096 | Pools h=1 s=1 | pR=1.00 | std h=1.00 s=0.73 | hider=+0.943* hid=0.97 (5ep) | barr=0.40 elev=0.03 rlock=0.00
Iter 3 | Steps 6144 | Pools h=1 s=1 | pR=1.00 | std h=1.00 s=0.73 | hider=+0.489  hid=0.74 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 4 | Steps 8192 | Pools h=1 s=1 | pR=1.00 | std h=1.00 s=0.73 | hider=+0.667  hid=0.83 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 5 | Steps 10240 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.498  hid=0.75 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 6 | Steps 12288 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.869  hid=0.93 (5ep) | barr=0.40 elev=0.00 rlock=0.20
Iter 7 | Steps 14336 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.693  hid=0.85 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 8 | Steps 16384 | Pools h=1 s=1 | pR=1.00 | std h=1.00 s=0.73 | hider=+0.557  hid=0.78 (5ep) | barr=0.40 elev=0.08 rlock=0.00
Iter 9 | Steps 18432 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.959* hid=0.98 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 10 | Steps 20480 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.859  hid=0.93 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 11 | Steps 22528 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.670  hid=0.84 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 12 | Steps 24576 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.872  hid=0.94 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 13 | Steps 26624 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.941  hid=0.97 (5ep) | barr=0.40 elev=0.03 rlock=0.00
Iter 14 | Steps 28672 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.896  hid=0.95 (5ep) | barr=0.20 elev=0.05 rlock=0.00
Iter 15 | Steps 30720 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.600  hid=0.80 (5ep) | barr=0.40 elev=0.20 rlock=0.20
Iter 16 | Steps 32768 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.283  hid=0.64 (5ep) | barr=0.00 elev=0.01 rlock=0.20
Iter 17 | Steps 34816 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.906  hid=0.95 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 18 | Steps 36864 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+1.000* hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.20
Iter 19 | Steps 38912 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.926  hid=0.96 (5ep) | barr=0.20 elev=0.00 rlock=0.20
Iter 20 | Steps 40960 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.583  hid=0.79 (5ep) | barr=0.20 elev=0.01 rlock=0.20
Iter 21 | Steps 43008 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.243  hid=0.62 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 22 | Steps 45056 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.215  hid=0.61 (5ep) | barr=0.00 elev=0.20 rlock=0.00
Iter 23 | Steps 47104 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.963  hid=0.98 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 24 | Steps 49152 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.889  hid=0.94 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 25 | Steps 51200 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.074  hid=0.54 (5ep) | barr=0.20 elev=0.28 rlock=0.20
Iter 26 | Steps 53248 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.674  hid=0.84 (5ep) | barr=0.20 elev=0.05 rlock=0.00
Iter 27 | Steps 55296 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.589  hid=0.79 (5ep) | barr=0.00 elev=0.17 rlock=0.00
Iter 28 | Steps 57344 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.993  hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 29 | Steps 59392 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=-0.035  hid=0.48 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 30 | Steps 61440 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.233  hid=0.62 (5ep) | barr=0.00 elev=0.16 rlock=0.00
Iter 31 | Steps 63488 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.498  hid=0.75 (5ep) | barr=0.40 elev=0.29 rlock=0.00
Iter 32 | Steps 65536 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.709  hid=0.85 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 33 | Steps 67584 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.913  hid=0.96 (5ep) | barr=0.40 elev=0.04 rlock=0.00
Iter 34 | Steps 69632 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.969  hid=0.98 (5ep) | barr=0.20 elev=0.03 rlock=0.20
Iter 35 | Steps 71680 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.600  hid=0.80 (5ep) | barr=0.00 elev=0.10 rlock=0.00
Iter 36 | Steps 73728 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.287  hid=0.64 (5ep) | barr=0.00 elev=0.15 rlock=0.00
Iter 37 | Steps 75776 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.707  hid=0.85 (5ep) | barr=0.00 elev=0.00 rlock=0.20
Iter 38 | Steps 77824 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.983  hid=0.99 (5ep) | barr=0.00 elev=0.00 rlock=0.20
Iter 39 | Steps 79872 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+1.000  hid=1.00 (5ep) | barr=0.40 elev=0.00 rlock=0.00
Iter 40 | Steps 81920 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+1.000  hid=1.00 (5ep) | barr=0.20 elev=0.00 rlock=0.20
Iter 41 | Steps 83968 | Pools h=1 s=1 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.626  hid=0.81 (5ep) | barr=0.20 elev=0.00 rlock=0.00
