[train_hs7] room+ramp 1v1 obs=28 steps=30000000 ramp=10000000-14000000 saving to hs_ramp_*.pt
Iter 1 | Steps 2048 | Pools h=1 s=1 | pR=0.00 | hider=+0.943* hid=0.97 (5ep) | seeker=-0.850* hid=0.93 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 2 | Steps 4096 | Pools h=2 s=2 | pR=0.00 | hider=+0.852  hid=0.93 (5ep) | seeker=-0.983  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 3 | Steps 6144 | Pools h=2 s=2 | pR=0.00 | hider=+0.537  hid=0.77 (5ep) | seeker=-0.993  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 4 | Steps 8192 | Pools h=2 s=2 | pR=0.00 | hider=+0.756  hid=0.88 (5ep) | seeker=-0.498* hid=0.75 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 5 | Steps 10240 | Pools h=3 s=3 | pR=0.00 | hider=+0.622  hid=0.81 (5ep) | seeker=-0.972  hid=0.99 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 6 | Steps 12288 | Pools h=3 s=3 | pR=0.00 | hider=+0.781  hid=0.89 (5ep) | seeker=-0.913  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 7 | Steps 14336 | Pools h=3 s=3 | pR=0.00 | hider=+1.000* hid=1.00 (5ep) | seeker=-0.333* hid=0.67 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 8 | Steps 16384 | Pools h=4 s=4 | pR=0.00 | hider=+0.446  hid=0.72 (5ep) | seeker=-0.963  hid=0.98 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 9 | Steps 18432 | Pools h=4 s=4 | pR=0.00 | hider=+0.996  hid=1.00 (5ep) | seeker=-0.978  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 10 | Steps 20480 | Pools h=4 s=4 | pR=0.00 | hider=+0.874  hid=0.94 (5ep) | seeker=-0.981  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 11 | Steps 22528 | Pools h=4 s=4 | pR=0.00 | hider=+0.985  hid=0.99 (5ep) | seeker=-0.594  hid=0.80 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 12 | Steps 24576 | Pools h=4 s=4 | pR=0.00 | hider=+0.491  hid=0.75 (5ep) | seeker=-0.700  hid=0.85 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 13 | Steps 26624 | Pools h=4 s=4 | pR=0.00 | hider=+0.657  hid=0.83 (5ep) | seeker=-0.944  hid=0.97 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 14 | Steps 28672 | Pools h=4 s=4 | pR=0.00 | hider=+0.674  hid=0.84 (5ep) | seeker=-0.874  hid=0.94 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 15 | Steps 30720 | Pools h=4 s=4 | pR=0.00 | hider=+0.907  hid=0.95 (5ep) | seeker=-0.569  hid=0.78 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 16 | Steps 32768 | Pools h=4 s=4 | pR=0.00 | hider=+0.965  hid=0.98 (5ep) | seeker=-0.887  hid=0.94 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 17 | Steps 34816 | Pools h=4 s=4 | pR=0.00 | hider=+0.526  hid=0.76 (5ep) | seeker=-0.980  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 18 | Steps 36864 | Pools h=4 s=4 | pR=0.00 | hider=+0.969  hid=0.98 (5ep) | seeker=-0.656  hid=0.83 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 19 | Steps 38912 | Pools h=4 s=4 | pR=0.00 | hider=+0.937  hid=0.97 (5ep) | seeker=-0.478  hid=0.74 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 20 | Steps 40960 | Pools h=4 s=4 | pR=0.00 | hider=+0.952  hid=0.98 (5ep) | seeker=-0.674  hid=0.84 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 21 | Steps 43008 | Pools h=4 s=4 | pR=0.00 | hider=+0.656  hid=0.83 (5ep) | seeker=-0.563  hid=0.78 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 22 | Steps 45056 | Pools h=4 s=4 | pR=0.00 | hider=+0.648  hid=0.82 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 23 | Steps 47104 | Pools h=4 s=4 | pR=0.00 | hider=+0.880  hid=0.94 (5ep) | seeker=-0.724  hid=0.86 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 24 | Steps 49152 | Pools h=4 s=4 | pR=0.00 | hider=+0.572  hid=0.79 (5ep) | seeker=-0.957  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 25 | Steps 51200 | Pools h=4 s=4 | pR=0.00 | hider=+0.989  hid=0.99 (5ep) | seeker=-0.748  hid=0.87 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 26 | Steps 53248 | Pools h=4 s=4 | pR=0.00 | hider=+0.957  hid=0.98 (5ep) | seeker=-0.924  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 27 | Steps 55296 | Pools h=4 s=4 | pR=0.00 | hider=+0.772  hid=0.89 (5ep) | seeker=-0.585  hid=0.79 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 28 | Steps 57344 | Pools h=4 s=4 | pR=0.00 | hider=+0.546  hid=0.77 (5ep) | seeker=-0.963  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 29 | Steps 59392 | Pools h=4 s=4 | pR=0.00 | hider=-0.043  hid=0.48 (5ep) | seeker=-0.867  hid=0.93 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 30 | Steps 61440 | Pools h=4 s=4 | pR=0.00 | hider=+0.933  hid=0.97 (5ep) | seeker=-0.994  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 31 | Steps 63488 | Pools h=4 s=4 | pR=0.00 | hider=+0.672  hid=0.84 (5ep) | seeker=-0.991  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 32 | Steps 65536 | Pools h=4 s=4 | pR=0.00 | hider=+0.930  hid=0.96 (5ep) | seeker=-0.509  hid=0.75 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 33 | Steps 67584 | Pools h=4 s=4 | pR=0.00 | hider=+0.713  hid=0.86 (5ep) | seeker=-0.985  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 34 | Steps 69632 | Pools h=4 s=4 | pR=0.00 | hider=+0.674  hid=0.84 (5ep) | seeker=-0.507  hid=0.75 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 35 | Steps 71680 | Pools h=4 s=4 | pR=0.00 | hider=+0.611  hid=0.81 (5ep) | seeker=-0.961  hid=0.98 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 36 | Steps 73728 | Pools h=4 s=4 | pR=0.00 | hider=+0.891  hid=0.95 (5ep) | seeker=-0.943  hid=0.97 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 37 | Steps 75776 | Pools h=4 s=4 | pR=0.00 | hider=+0.989  hid=0.99 (5ep) | seeker=-0.961  hid=0.98 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 38 | Steps 77824 | Pools h=4 s=4 | pR=0.00 | hider=+0.765  hid=0.88 (5ep) | seeker=-0.957  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 39 | Steps 79872 | Pools h=4 s=4 | pR=0.00 | hider=+0.735  hid=0.87 (5ep) | seeker=-0.887  hid=0.94 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 40 | Steps 81920 | Pools h=4 s=4 | pR=0.00 | hider=+0.863  hid=0.93 (5ep) | seeker=-0.739  hid=0.87 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 41 | Steps 83968 | Pools h=4 s=4 | pR=0.00 | hider=+0.735  hid=0.87 (5ep) | seeker=-0.822  hid=0.91 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 42 | Steps 86016 | Pools h=4 s=4 | pR=0.00 | hider=+0.619  hid=0.81 (5ep) | seeker=-0.978  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 43 | Steps 88064 | Pools h=4 s=4 | pR=0.00 | hider=+0.926  hid=0.96 (5ep) | seeker=-0.896  hid=0.95 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 44 | Steps 90112 | Pools h=4 s=4 | pR=0.00 | hider=+0.920  hid=0.96 (5ep) | seeker=-0.970  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 45 | Steps 92160 | Pools h=4 s=4 | pR=0.00 | hider=+0.891  hid=0.95 (5ep) | seeker=-0.978  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 46 | Steps 94208 | Pools h=4 s=4 | pR=0.00 | hider=+0.983  hid=0.99 (5ep) | seeker=-0.913  hid=0.96 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 47 | Steps 96256 | Pools h=4 s=4 | pR=0.00 | hider=+0.928  hid=0.96 (5ep) | seeker=-0.178* hid=0.59 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 48 | Steps 98304 | Pools h=5 s=5 | pR=0.00 | hider=+0.985  hid=0.99 (5ep) | seeker=-0.859  hid=0.93 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 49 | Steps 100352 | Pools h=5 s=5 | pR=0.00 | hider=+0.574  hid=0.79 (5ep) | seeker=-0.970  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 50 | Steps 102400 | Pools h=5 s=5 | pR=0.00 | hider=-0.004  hid=0.50 (5ep) | seeker=-0.493  hid=0.75 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 51 | Steps 104448 | Pools h=5 s=5 | pR=0.00 | hider=+0.548  hid=0.77 (5ep) | seeker=-0.541  hid=0.77 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 52 | Steps 106496 | Pools h=5 s=5 | pR=0.00 | hider=+0.976  hid=0.99 (5ep) | seeker=-0.794  hid=0.90 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 53 | Steps 108544 | Pools h=5 s=5 | pR=0.00 | hider=+0.807  hid=0.90 (5ep) | seeker=-0.850  hid=0.93 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 54 | Steps 110592 | Pools h=5 s=5 | pR=0.00 | hider=+0.743  hid=0.87 (5ep) | seeker=-0.922  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 55 | Steps 112640 | Pools h=5 s=5 | pR=0.00 | hider=+0.826  hid=0.91 (5ep) | seeker=-0.746  hid=0.87 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 56 | Steps 114688 | Pools h=5 s=5 | pR=0.00 | hider=+0.091  hid=0.55 (5ep) | seeker=-0.922  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 57 | Steps 116736 | Pools h=5 s=5 | pR=0.00 | hider=+0.465  hid=0.73 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 58 | Steps 118784 | Pools h=5 s=5 | pR=0.00 | hider=+0.706  hid=0.85 (5ep) | seeker=-0.959  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 59 | Steps 120832 | Pools h=5 s=5 | pR=0.00 | hider=+0.641  hid=0.82 (5ep) | seeker=-0.915  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 60 | Steps 122880 | Pools h=5 s=5 | pR=0.00 | hider=+0.794  hid=0.90 (5ep) | seeker=-0.963  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 61 | Steps 124928 | Pools h=5 s=5 | pR=0.00 | hider=+0.593  hid=0.80 (5ep) | seeker=-0.907  hid=0.95 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 62 | Steps 126976 | Pools h=5 s=5 | pR=0.00 | hider=+0.887  hid=0.94 (5ep) | seeker=-0.515  hid=0.76 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 63 | Steps 129024 | Pools h=5 s=5 | pR=0.00 | hider=+0.589  hid=0.79 (5ep) | seeker=-0.935  hid=0.97 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 64 | Steps 131072 | Pools h=5 s=5 | pR=0.00 | hider=+0.952  hid=0.98 (5ep) | seeker=-0.774  hid=0.89 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 65 | Steps 133120 | Pools h=5 s=5 | pR=0.00 | hider=+0.954  hid=0.98 (5ep) | seeker=-0.737  hid=0.87 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 66 | Steps 135168 | Pools h=5 s=5 | pR=0.00 | hider=+0.985  hid=0.99 (5ep) | seeker=-0.924  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 67 | Steps 137216 | Pools h=5 s=5 | pR=0.00 | hider=+0.985  hid=0.99 (5ep) | seeker=-0.770  hid=0.89 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 68 | Steps 139264 | Pools h=5 s=5 | pR=0.00 | hider=+0.578  hid=0.79 (5ep) | seeker=-0.952  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 69 | Steps 141312 | Pools h=5 s=5 | pR=0.00 | hider=+0.956  hid=0.98 (5ep) | seeker=-0.976  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 70 | Steps 143360 | Pools h=5 s=5 | pR=0.00 | hider=+0.874  hid=0.94 (5ep) | seeker=-0.741  hid=0.87 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 71 | Steps 145408 | Pools h=5 s=5 | pR=0.00 | hider=+0.944  hid=0.97 (5ep) | seeker=-0.646  hid=0.82 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 72 | Steps 147456 | Pools h=5 s=5 | pR=0.00 | hider=+0.952  hid=0.98 (5ep) | seeker=-0.894  hid=0.95 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 73 | Steps 149504 | Pools h=5 s=5 | pR=0.00 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.635  hid=0.82 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 74 | Steps 151552 | Pools h=5 s=5 | pR=0.00 | hider=+0.881  hid=0.94 (5ep) | seeker=-0.996  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 75 | Steps 153600 | Pools h=5 s=5 | pR=0.00 | hider=+0.663  hid=0.83 (5ep) | seeker=-0.846  hid=0.92 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 76 | Steps 155648 | Pools h=5 s=5 | pR=0.00 | hider=+0.546  hid=0.77 (5ep) | seeker=-0.943  hid=0.97 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 77 | Steps 157696 | Pools h=5 s=5 | pR=0.00 | hider=+0.863  hid=0.93 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 78 | Steps 159744 | Pools h=5 s=5 | pR=0.00 | hider=+0.572  hid=0.79 (5ep) | seeker=-0.600  hid=0.80 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 79 | Steps 161792 | Pools h=5 s=5 | pR=0.00 | hider=+0.835  hid=0.92 (5ep) | seeker=-0.974  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 80 | Steps 163840 | Pools h=5 s=5 | pR=0.00 | hider=+0.806  hid=0.90 (5ep) | seeker=-0.200  hid=0.60 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 81 | Steps 165888 | Pools h=5 s=5 | pR=0.00 | hider=+0.467  hid=0.73 (5ep) | seeker=-0.074* hid=0.54 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 82 | Steps 167936 | Pools h=6 s=6 | pR=0.00 | hider=+0.985  hid=0.99 (5ep) | seeker=-0.756  hid=0.88 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 83 | Steps 169984 | Pools h=6 s=6 | pR=0.00 | hider=+0.994  hid=1.00 (5ep) | seeker=-0.891  hid=0.95 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 84 | Steps 172032 | Pools h=6 s=6 | pR=0.00 | hider=+0.670  hid=0.84 (5ep) | seeker=-0.587  hid=0.79 (5ep) | barr=0.00 elev=nan rlock=nan
