[train_hs7] room+ramp 1v1 obs=28 steps=16000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] warm-started both nets from hs_ramp_*.pt
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 1 | Steps 2048 | Pools h=1 s=1 | pR=1.00 | std h=2.72 s=0.28 | hider=+1.000* hid=1.00 (5ep) | seeker=-0.959* hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 2 | Steps 4096 | Pools h=2 s=2 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.891  hid=0.95 (5ep) | seeker=-0.600* hid=0.80 (5ep) | barr=0.00 elev=0.19 rlock=0.00
Iter 3 | Steps 6144 | Pools h=3 s=3 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.970  hid=0.99 (5ep) | seeker=-0.806  hid=0.90 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 4 | Steps 8192 | Pools h=3 s=3 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.898  hid=0.95 (5ep) | seeker=-0.828  hid=0.91 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 5 | Steps 10240 | Pools h=3 s=3 | pR=1.00 | std h=2.71 s=0.28 | hider=+0.820  hid=0.91 (5ep) | seeker=-0.541* hid=0.77 (5ep) | barr=0.00 elev=0.13 rlock=0.00
Iter 6 | Steps 12288 | Pools h=4 s=4 | pR=1.00 | std h=2.71 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.946  hid=0.97 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 7 | Steps 14336 | Pools h=4 s=4 | pR=1.00 | std h=2.71 s=0.27 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.394* hid=0.70 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 8 | Steps 16384 | Pools h=5 s=5 | pR=1.00 | std h=2.72 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.770  hid=0.89 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 9 | Steps 18432 | Pools h=5 s=5 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.972  hid=0.99 (5ep) | seeker=-0.935  hid=0.97 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 10 | Steps 20480 | Pools h=5 s=5 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.880  hid=0.94 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 11 | Steps 22528 | Pools h=5 s=5 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.991  hid=1.00 (5ep) | seeker=-0.933  hid=0.97 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 12 | Steps 24576 | Pools h=5 s=5 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.930  hid=0.96 (5ep) | seeker=-0.987  hid=0.99 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 13 | Steps 26624 | Pools h=5 s=5 | pR=1.00 | std h=2.72 s=0.28 | hider=+0.715  hid=0.86 (5ep) | seeker=-0.719  hid=0.86 (5ep) | barr=0.00 elev=0.25 rlock=0.00
Iter 14 | Steps 28672 | Pools h=5 s=5 | pR=1.00 | std h=2.70 s=0.28 | hider=+0.687  hid=0.84 (5ep) | seeker=-0.869  hid=0.93 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 15 | Steps 30720 | Pools h=5 s=5 | pR=1.00 | std h=2.71 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.10 rlock=0.00
Iter 16 | Steps 32768 | Pools h=5 s=5 | pR=1.00 | std h=2.70 s=0.28 | hider=+0.820  hid=0.91 (5ep) | seeker=-0.863  hid=0.93 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 17 | Steps 34816 | Pools h=5 s=5 | pR=1.00 | std h=2.70 s=0.28 | hider=+0.767  hid=0.88 (5ep) | seeker=-0.954  hid=0.98 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 18 | Steps 36864 | Pools h=5 s=5 | pR=1.00 | std h=2.70 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.906  hid=0.95 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 19 | Steps 38912 | Pools h=5 s=5 | pR=1.00 | std h=2.69 s=0.28 | hider=+0.844  hid=0.92 (5ep) | seeker=-0.941  hid=0.97 (5ep) | barr=0.00 elev=0.05 rlock=0.00
