[train_hs] layout=open saving to hs_open_*.pt
Iter 1 | Steps 2048 | Pools h=1 s=1 | hider=-0.391* hid=0.30 (8ep) | seeker=+0.705* hid=0.15 (8ep)
Iter 2 | Steps 4096 | Pools h=2 s=2 | hider=-0.356* hid=0.32 (8ep) | seeker=+0.148  hid=0.43 (8ep)
Iter 3 | Steps 6144 | Pools h=3 s=3 | hider=-0.132* hid=0.43 (8ep) | seeker=+0.368  hid=0.32 (8ep)
Iter 4 | Steps 8192 | Pools h=4 s=4 | hider=-0.356  hid=0.32 (8ep) | seeker=+0.417  hid=0.29 (8ep)
Iter 5 | Steps 10240 | Pools h=4 s=4 | hider=-0.220  hid=0.39 (8ep) | seeker=+0.642  hid=0.18 (8ep)
Iter 6 | Steps 12288 | Pools h=4 s=4 | hider=-0.210  hid=0.39 (8ep) | seeker=+0.543  hid=0.23 (8ep)
Iter 7 | Steps 14336 | Pools h=4 s=4 | hider=-0.306  hid=0.35 (8ep) | seeker=+0.113  hid=0.44 (8ep)
Iter 8 | Steps 16384 | Pools h=4 s=4 | hider=-0.193  hid=0.40 (8ep) | seeker=+0.238  hid=0.38 (8ep)
Iter 9 | Steps 18432 | Pools h=4 s=4 | hider=-0.227  hid=0.39 (8ep) | seeker=+0.502  hid=0.25 (8ep)
Iter 10 | Steps 20480 | Pools h=4 s=4 | hider=-0.050* hid=0.47 (8ep) | seeker=+0.444  hid=0.28 (8ep)
Iter 11 | Steps 22528 | Pools h=5 s=5 | hider=-0.516  hid=0.24 (8ep) | seeker=+0.667  hid=0.17 (8ep)
Iter 12 | Steps 24576 | Pools h=5 s=5 | hider=-0.427  hid=0.29 (8ep) | seeker=+0.255  hid=0.37 (8ep)
Iter 13 | Steps 26624 | Pools h=5 s=5 | hider=+0.007* hid=0.50 (8ep) | seeker=+0.248  hid=0.38 (8ep)
Iter 14 | Steps 28672 | Pools h=6 s=6 | hider=-0.092  hid=0.45 (8ep) | seeker=+0.330  hid=0.34 (8ep)
Iter 15 | Steps 30720 | Pools h=6 s=6 | hider=-0.174  hid=0.41 (8ep) | seeker=+0.288  hid=0.36 (8ep)
Iter 16 | Steps 32768 | Pools h=6 s=6 | hider=-0.191  hid=0.40 (8ep) | seeker=+0.533  hid=0.23 (8ep)
Iter 17 | Steps 34816 | Pools h=6 s=6 | hider=-0.290  hid=0.36 (8ep) | seeker=+0.108  hid=0.45 (8ep)
Iter 18 | Steps 36864 | Pools h=6 s=6 | hider=-0.528  hid=0.24 (8ep) | seeker=+0.035  hid=0.48 (8ep)
Iter 19 | Steps 38912 | Pools h=6 s=6 | hider=-0.233  hid=0.38 (8ep) | seeker=+0.484  hid=0.26 (8ep)
Iter 20 | Steps 40960 | Pools h=6 s=6 | hider=-0.365  hid=0.32 (8ep) | seeker=+0.554  hid=0.22 (8ep)
Iter 21 | Steps 43008 | Pools h=6 s=6 | hider=-0.253  hid=0.37 (8ep) | seeker=+0.380  hid=0.31 (8ep)
Iter 22 | Steps 45056 | Pools h=6 s=6 | hider=-0.595  hid=0.20 (8ep) | seeker=+0.330  hid=0.34 (8ep)
Iter 23 | Steps 47104 | Pools h=6 s=6 | hider=-0.306  hid=0.35 (8ep) | seeker=+0.335  hid=0.33 (8ep)
Iter 24 | Steps 49152 | Pools h=6 s=6 | hider=-0.214  hid=0.39 (8ep) | seeker=+0.458  hid=0.27 (8ep)
Iter 25 | Steps 51200 | Pools h=6 s=6 | hider=-0.082  hid=0.46 (8ep) | seeker=+0.465  hid=0.27 (8ep)
Iter 26 | Steps 53248 | Pools h=6 s=6 | hider=-0.734  hid=0.13 (8ep) | seeker=+0.102  hid=0.45 (8ep)
Iter 27 | Steps 55296 | Pools h=6 s=6 | hider=-0.734  hid=0.13 (8ep) | seeker=+0.184  hid=0.41 (8ep)
Iter 28 | Steps 57344 | Pools h=6 s=6 | hider=-0.189  hid=0.41 (8ep) | seeker=+0.106  hid=0.45 (8ep)
Iter 29 | Steps 59392 | Pools h=6 s=6 | hider=-0.861  hid=0.07 (8ep) | seeker=+0.484  hid=0.26 (8ep)
Iter 30 | Steps 61440 | Pools h=6 s=6 | hider=-0.377  hid=0.31 (8ep) | seeker=+0.389  hid=0.31 (8ep)
Iter 31 | Steps 63488 | Pools h=6 s=6 | hider=-0.708  hid=0.15 (8ep) | seeker=+0.134  hid=0.43 (8ep)
Iter 32 | Steps 65536 | Pools h=6 s=6 | hider=-0.144  hid=0.43 (8ep) | seeker=+0.198  hid=0.40 (8ep)
Iter 33 | Steps 67584 | Pools h=6 s=6 | hider=-0.597  hid=0.20 (8ep) | seeker=+0.502  hid=0.25 (8ep)
Iter 34 | Steps 69632 | Pools h=6 s=6 | hider=+0.168* hid=0.58 (8ep) | seeker=+0.300  hid=0.35 (8ep)
Iter 35 | Steps 71680 | Pools h=7 s=7 | hider=-0.627  hid=0.19 (8ep) | seeker=-0.111  hid=0.56 (8ep)
Iter 36 | Steps 73728 | Pools h=7 s=7 | hider=-0.198  hid=0.40 (8ep) | seeker=+0.418  hid=0.29 (8ep)
